Date	Time	Severity	PID	TID	Function	Message
14-06-2025	14:42:45.235	 INFO	 22932	 11052	DllMain	"DLL_PROCESS_ATTACH "
14-06-2025	14:42:45.238	 INFO	 22932	 16788	InitializeCurrentProcessInfo	"0|0|0"
14-06-2025	14:42:45.270	ERROR	 22932	 16788	Edlp::Process::GetLabelId	"std::exception thrown GetFileVersionInfoSizeW failed with 1813"
14-06-2025	14:42:45.270	 INFO	 22932	 16788	ProcessEdlpPolicy	"Label Id :0"
14-06-2025	14:42:45.361	 INFO	 22932	 16788	LoadDlls	" Dlls : PrinterMonitorDll DragDropDll "
14-06-2025	14:42:45.361	 INFO	 22932	 16788	Injector	"PolicyVersion : 1743880129"
14-06-2025	14:42:45.394	 INFO	  5216	 10192	DllMain	"DLL_PROCESS_ATTACH "
14-06-2025	14:42:45.395	 INFO	  5216	 17488	InitializeCurrentProcessInfo	"0|0|0"
14-06-2025	14:42:45.421	ERROR	  5216	 17488	Edlp::Process::GetLabelId	"std::exception thrown GetFileVersionInfoSizeW failed with 1813"
14-06-2025	14:42:45.421	 INFO	  5216	 17488	ProcessEdlpPolicy	"Label Id :0"
14-06-2025	14:42:45.506	 INFO	  5216	 17488	LoadDlls	" Dlls : PrinterMonitorDll DragDropDll "
14-06-2025	14:42:45.506	 INFO	  5216	 17488	Injector	"PolicyVersion : 1743880129"
